item_id,item_code,item_class,item_order_frequency,item_initial_quantity_inventory,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_weight,item_unit,item_quantity_order_unique,item_pod_inventory_level,item_warehouse_inventory_level
0,10021026001,A,2604,22,39.0,28.0,32.0,34944.0,19.23,12,2912.0,1.602,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 24, 25, 48]",0.4,0.4
1,14503003001,A,2477,42,46.0,33.0,20.0,30360.0,3.0,24,1265.0,0.125,PCS,"[1, 2, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 39, 48, 54]",0.4,0.4
2,14023056001,A,1917,21,52.0,40.0,23.0,47840.0,4.86,12,3986.7,0.405,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 18, 22, 24, 30, 38, 41, 52]",0.4,0.4
3,10021025001,A,1668,240,35.0,20.0,13.0,9100.0,7.77,24,379.2,0.324,PCS,"[6, 12, 18, 24, 30, 36, 42, 48, 54, 66, 72, 84, 96, 120, 144, 288, 510, 810]",0.4,0.4
4,14014006001,A,1495,35,60.0,41.0,29.0,71340.0,2.55,6,11890.0,0.425,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 18, 19, 20, 22, 25, 30, 42, 46, 48, 54, 144]",0.4,0.4
5,14805012001,A,1446,191,41.0,27.0,13.0,14391.0,10.01,24,599.6,0.417,PCS,"[2, 4, 6, 8, 10, 12, 14, 18, 24, 30, 36, 42, 48, 60, 72, 180, 240, 288, 324, 840]",0.4,0.4
6,14014014001,A,1380,24,61.0,40.0,40.0,97600.0,3.4,10,9760.0,0.34,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 30, 54, 73]",0.4,0.4
7,14804007001,A,1283,104,41.0,28.0,13.0,14924.0,10.8,24,621.8,0.45,PCS,"[2, 4, 6, 8, 12, 18, 22, 24, 30, 36, 42, 48, 54, 60, 72, 144, 192]",0.4,0.4
8,14010040001,A,1258,16,38.0,33.0,21.0,26334.0,3.81,10,2633.4,0.381,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16]",0.4,0.4
9,14502009001,A,1210,103,37.0,37.0,14.0,19166.0,2.99,30,638.9,0.1,PCS,"[1, 5, 9, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 65, 70, 75]",0.4,0.4
10,14500000001,A,1184,92,41.0,32.0,13.0,17056.0,3.55,30,568.5,0.118,PCS,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 55, 60, 70, 120]",0.4,0.4
11,10000011001,A,1119,502,40.0,27.0,10.0,10800.0,6.76,24,450.0,0.282,PCS,"[24, 48, 72, 96, 120, 144, 192, 240, 288, 480]",0.4,0.4
12,14010142001,A,1104,24,61.0,39.0,29.0,68991.0,2.45,8,8623.9,0.306,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 18, 19, 27, 30, 32, 44, 48]",0.4,0.4
13,10033043001,A,1052,88,41.0,27.0,24.0,26568.0,14.3,24,1107.0,0.596,PCS,"[2, 4, 8, 12, 16, 18, 20, 22, 24, 28, 32, 48, 52, 64, 72, 96]",0.4,0.4
14,14014015001,A,1050,20,60.0,40.0,35.0,84000.0,4.92,12,7000.0,0.41,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 20, 55]",0.4,0.4
15,14011029001,A,965,15,59.0,39.0,40.0,92040.0,4.4,12,7670.0,0.367,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.4,0.4
16,14023028001,A,899,16,57.0,39.0,41.0,91143.0,3.61,12,7595.3,0.301,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15]",0.4,0.4
17,14020026001,A,881,15,42.0,22.0,13.0,12012.0,2.11,12,1001.0,0.176,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 15]",0.4,0.4
18,14112013001,A,870,15,40.0,28.0,31.0,34720.0,3.33,10,3472.0,0.333,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 20, 30]",0.4,0.4
19,14023104001,A,847,14,59.0,39.0,38.0,87438.0,3.36,12,7286.5,0.28,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 17]",0.4,0.4
20,10002018001,A,817,106,41.0,27.0,12.0,13284.0,9.27,24,553.5,0.386,PCS,"[1, 5, 6, 12, 18, 23, 24, 30, 36, 48, 54, 60, 72, 120]",0.4,0.4
